TimeGenerated,RemoteIP,AccountName,DeviceName,ActionType,LogonType
"Sep 13, 2026 11:28:56 PM",,dwm-3,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:28:56 PM",,dwm-3,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:28:56 PM",10.0.8.4,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:28:56 PM",10.0.8.4,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 13, 2026 11:38:35 PM",10.0.8.4,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 13, 2026 11:38:36 PM",-,umfd-4,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:38:36 PM",,umfd-4,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:38:37 PM",-,dwm-4,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:38:37 PM",,dwm-4,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:38:37 PM",,dwm-4,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:38:37 PM",10.0.8.4,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:38:37 PM",10.0.8.4,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 14, 2026 12:42:11 AM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 14, 2026 12:42:11 AM",10.0.8.10,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 14, 2026 12:42:12 AM",-,umfd-5,sql-labuser,LogonAttempted,Unknown
"Sep 14, 2026 12:42:12 AM",,umfd-5,sql-labuser,LogonSuccess,Interactive
"Sep 14, 2026 12:42:12 AM",-,dwm-5,sql-labuser,LogonAttempted,Unknown
"Sep 14, 2026 12:42:12 AM",,dwm-5,sql-labuser,LogonSuccess,Interactive
"Sep 14, 2026 12:42:12 AM",,dwm-5,sql-labuser,LogonSuccess,Interactive
"Sep 14, 2026 12:42:12 AM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 14, 2026 12:42:12 AM",10.0.8.10,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 14, 2026 12:42:12 AM",10.0.8.10,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 12:38:27 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 12:38:27 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
