TimeGenerated,DeviceName,ActionType,RemoteIP,RemotePort,RemoteUrl,LocalIP,LocalPort,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName,InitiatingProcessCommandLine
"Sep 13, 2026 9:44:02 PM",sql-labuser,ConnectionSuccess,40.84.79.26,443,,10.1.0.100,49860,Tcp,system,monagentmanager.exe,"-serviceShutdown MonAgentShutdownEvent.1248 -parent 1248 -deploymentdir ""C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.45.0.0\Monitoring\Agent"" -LocalPath ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser"" ""-mcsmode"" ""-ShutDownEvent"" ""AzureMonitorAgentExtension-ShutdownEventName"" ""-TotalShutDownEvent"" ""AzureMonitorAgentExtension-TotalShutdownEventName"" ""-InitializedEvent"" ""AzureMonitorAgentExtension-StartAgentEventName"" -LogPath ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser\Configuration\MonAgentHost.29.log"""
"Sep 13, 2026 9:43:59 PM",sql-labuser,ConnectionSuccess,40.84.79.26,443,global.handler.control.monitor.azure.com,10.1.0.100,49859,Tcp,system,metricsextension.native.exe,"MetricsExtension.Native.exe -stopEvent AMA-MetricsExtension-ShutdownEvent -diagnosticsProvider e3e860c7-aff6-11f1-8f8a-7c1e52ab24aa -EnableDcrManagedSources -ExecutionPriorityLevel 0 -OperationEnvironment AMA-Windows/1.45.0.0 -ManagedIdentity sai -Input etw -OtlpGrpcHost 127.0.0.1 -ConfigOverrides {\""enableInternalMetricsGigQosTarget\"":false} "
"Sep 13, 2026 9:43:58 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,28230,TcpV4,system,monagentcore.exe,"  -deploymentdir ""C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.45.0.0\Monitoring\Agent"" -LocalPath ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser""  -mcsmode    -InitializedEvent ""AzureMonitorAgentExtension-StartAgentEventName""  -managerver 1  -parent 1188 -ShutDownEvent AzureMonitorAgentExtension-ShutdownEventName1248 -TotalShutDownEvent AzureMonitorAgentExtension-TotalShutdownEventName1248 -ConfigFile ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser\mcs\mcsconfig.latest.xml"" "
"Sep 13, 2026 9:43:58 PM",sql-labuser,HttpConnectionInspected,169.254.169.254,80,,10.1.0.100,49770,Tcp,,,
"Sep 13, 2026 9:43:58 PM",sql-labuser,HttpConnectionInspected,169.254.169.254,80,,10.1.0.100,49768,Tcp,,,
"Sep 13, 2026 9:43:58 PM",sql-labuser,ConnectionSuccess,169.254.169.254,80,,10.1.0.100,49857,Tcp,system,monagentcore.exe,"  -deploymentdir ""C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.45.0.0\Monitoring\Agent"" -LocalPath ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser""  -mcsmode    -InitializedEvent ""AzureMonitorAgentExtension-StartAgentEventName""  -managerver 1  -parent 1188 -ShutDownEvent AzureMonitorAgentExtension-ShutdownEventName1248 -TotalShutDownEvent AzureMonitorAgentExtension-TotalShutdownEventName1248 -ConfigFile ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser\mcs\mcsconfig.latest.xml"" "
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49855,,127.0.0.1,49856,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49855,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49853,,127.0.0.1,49854,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49853,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49849,,127.0.0.1,49852,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49850,,127.0.0.1,49851,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49849,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49850,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49846,,127.0.0.1,49847,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49845,,127.0.0.1,49848,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49846,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49845,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49843,,127.0.0.1,49844,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49843,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49840,,127.0.0.1,49842,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ConnectionSuccess,127.0.0.1,49839,,127.0.0.1,49841,Tcp,system,fluent-bit.exe,"td-agent.conf"""
"Sep 13, 2026 9:43:57 PM",sql-labuser,ListeningConnectionCreated,,,,127.0.0.1,49839,TcpV4,system,fluent-bit.exe,"td-agent.conf"""
